 , date,rtt(ns),GUID,type,seq#,success/fail,,,,,,,,,,,,,
 ,[12:16:45.890],-,TRACE,-,main/GNRSServer,-,Loading,configuration,file,rock-configs/current/server.xml.,,,,,,,,,
,[12:17:46.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:47.451],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:48.451],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:49.451],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:50.451],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:51.447],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:52.451],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:53.451],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:54.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:55.165],-,INFO,-,Thread-2/GNRSServer,-,Generating,CDF,files.,,,,,,,,,,
,[13:34:30.849],-,TRACE,-,main/GNRSServer,-,Loading,configuration,file,rock-configs/current/server.xml.,,,,,,,,,
,[13:34:30.892],-,INFO,-,main/IPv4UDPGUIDMapper,-,Finished,loading,prefix,map.,,,,,,,,,
,[13:34:30.893],-,INFO,-,main/IPv4UDPGUIDMapper,-,Finished,loading,AS,network,binding,values.,,,,,,,
,[13:34:31.405],-,TRACE,-,main/GNRSServer,-,GNRS,server,thread,started.,,,,,,,,,
,[13:34:32.420],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:33.415],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:34.415],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:35.415],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:36.415],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:37.415],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:38.415],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:39.416],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:40.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:41.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:41.415],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,18,,,,,,,,,
,[13:34:42.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:43.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:44.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:45.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:46.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:34:47.412],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
